shift_date,market,utilization_percent
2016-12-30,8-ATL,46.97568
2016-12-30,9-MIA,49.65717
2016-12-29,1-BAY,51.27468
2016-12-29,2-NY,27.05556
2016-12-29,4-LA,42.03017
2016-12-29,5-CHI,52.49092
2016-12-29,6-DAL,60.46432
2016-12-29,7-HOU,59.89424
2016-12-29,8-ATL,48.80081
2016-12-29,9-MIA,55.80565
2016-12-28,1-BAY,48.47892
2016-12-28,2-NY,34.84589
2016-12-28,4-LA,40.90248
2016-12-28,5-CHI,34.07384
2016-12-28,6-DAL,55.01562
2016-12-28,7-HOU,57.33046
2016-12-28,8-ATL,46.25899
2016-12-28,9-MIA,51.66335
2016-12-27,1-BAY,45.20609
2016-12-27,2-NY,39.36922
2016-12-27,4-LA,50.41316
2016-12-27,5-CHI,43.66324
2016-12-27,6-DAL,54.25916
2016-12-27,7-HOU,55.38044
2016-12-27,8-ATL,61.39354
2016-12-27,9-MIA,56.30346
2016-12-26,1-BAY,49.59911
2016-12-26,2-NY,48.81061
2016-12-26,4-LA,53.41315
2016-12-26,5-CHI,57.3808
2016-12-26,6-DAL,54.59579
2016-12-26,7-HOU,54.3563
2016-12-26,8-ATL,51.92241
2016-12-26,9-MIA,47.08898
2016-12-24,1-BAY,47.09032
2016-12-24,2-NY,49.46003
2016-12-24,4-LA,51.75043
2016-12-24,5-CHI,55.00906
2016-12-24,6-DAL,56.9177
2016-12-24,7-HOU,48.28741
2016-12-24,8-ATL,53.08483
2016-12-24,9-MIA,49.0718
2016-12-23,1-BAY,59.157
2016-12-23,2-NY,44.4377
2016-12-23,4-LA,54.59114
2016-12-23,5-CHI,73.60067
2016-12-23,6-DAL,63.15106
2016-12-23,7-HOU,57.55063
2016-12-23,8-ATL,46.3003
2016-12-23,9-MIA,49.85085
2016-12-22,1-BAY,58.67846
2016-12-22,2-NY,44.64634
2016-12-22,4-LA,55.85661
2016-12-22,5-CHI,56.85371
2016-12-22,6-DAL,73.26991
2016-12-22,7-HOU,58.34091
2016-12-22,8-ATL,57.72677
2016-12-22,9-MIA,49.06734
2016-12-21,1-BAY,53.91475
2016-12-21,2-NY,40.77079
2016-12-21,4-LA,45.07306
2016-12-21,5-CHI,48.64374
2016-12-21,6-DAL,71.85333
2016-12-21,7-HOU,62.91888
2016-12-21,8-ATL,53.08506
2016-12-21,9-MIA,45.03633
2016-12-20,1-BAY,43.10038
2016-12-20,2-NY,43.38198
2016-12-20,4-LA,51.78479
2016-12-20,5-CHI,50.19197
2016-12-20,6-DAL,63.97361
2016-12-20,7-HOU,68.03845
2016-12-20,8-ATL,46.27034
2016-12-20,9-MIA,48.39261
2016-12-19,1-BAY,49.9337
2016-12-19,2-NY,47.31194
2016-12-19,4-LA,40.55792
2016-12-19,5-CHI,50.95481
2016-12-19,6-DAL,62.1786
2016-12-19,7-HOU,58.54995
2016-12-19,8-ATL,45.13177
2016-12-19,9-MIA,53.24314
2016-12-18,1-BAY,52.40472
2016-12-18,2-NY,61.53127
2016-12-18,4-LA,47.75141
2016-12-18,5-CHI,50.93144
2016-12-18,6-DAL,63.66271
2016-12-18,7-HOU,62.71509
2016-12-18,8-ATL,59.45177
2016-12-18,9-MIA,41.01519
2016-12-17,1-BAY,51.57686
2016-12-17,2-NY,41.51389
2016-12-17,4-LA,58.01298
2016-12-17,5-CHI,51.0813
2016-12-17,6-DAL,60.89039
2016-12-17,7-HOU,57.96717
2016-12-17,8-ATL,54.60581
2016-12-17,9-MIA,37.92081
2016-12-16,1-BAY,47.00781
2016-12-16,2-NY,34.40918
2016-12-16,4-LA,52.41242
2016-12-16,5-CHI,50.68817
2016-12-16,6-DAL,68.24266
2016-12-16,7-HOU,59.37147
2016-12-16,8-ATL,55.04855
2016-12-16,9-MIA,39.81351
2016-12-15,1-BAY,49.30264
2016-12-15,2-NY,36.16807
2016-12-15,4-LA,38.96621
2016-12-15,5-CHI,57.98727
2016-12-15,6-DAL,60.6953
2016-12-15,7-HOU,59.31332
2016-12-15,8-ATL,62.78811
2016-12-15,9-MIA,54.25683
2016-12-14,1-BAY,46.51559
2016-12-14,2-NY,41.63227
2016-12-14,4-LA,46.61686
2016-12-14,5-CHI,31.3846
2016-12-14,6-DAL,60.27496
2016-12-14,7-HOU,42.15955
2016-12-14,8-ATL,53.7859
2016-12-14,9-MIA,39.27303
2016-12-13,1-BAY,44.53261
2016-12-13,2-NY,45.55518
2016-12-13,4-LA,38.78141
2016-12-13,5-CHI,48.38174
2016-12-13,6-DAL,47.09858
2016-12-13,7-HOU,45.95259
2016-12-13,8-ATL,36.13146
2016-12-13,9-MIA,56.00151
2016-12-12,1-BAY,52.12857
2016-12-12,2-NY,35.87251
2016-12-12,4-LA,40.37306
2016-12-12,5-CHI,35.39015
2016-12-12,6-DAL,62.67782
2016-12-12,7-HOU,53.32885
2016-12-12,8-ATL,48.0615
2016-12-12,9-MIA,43.7212
2016-12-11,1-BAY,38.46544
2016-12-11,2-NY,47.70403
2016-12-11,4-LA,43.68617
2016-12-11,5-CHI,41.12369
2016-12-11,6-DAL,64.42639
2016-12-11,7-HOU,55.04881
2016-12-11,8-ATL,38.62957
2016-12-11,9-MIA,37.41481
2016-12-10,1-BAY,54.01158
2016-12-10,2-NY,39.50383
2016-12-10,4-LA,55.53179
2016-12-10,5-CHI,37.64738
2016-12-10,6-DAL,51.92967
2016-12-10,7-HOU,45.85151
2016-12-10,8-ATL,44.20217
2016-12-10,9-MIA,36.33683
2016-12-09,1-BAY,50.61618
